date,Cooler,Heater,Drive 1 started,Sync signal from S10-2991 (DOUT1 Cooler),Command Drive speed Drive 1,Actual Speed Drive 1,Current Propotional Coil Pump 1,Pressure Drain filter 1,Pressure B-side Pump 1,Temp Drain Pump 1,Displacement Pump 1,Current Electric motor 1,Pressure A-side Pump 1,Temp Drain line from Hydraulic motor 1 in tank 1,Temp Oil tank 1,Temp Hydraulic out Cooler 1,Temp Hydraulic in Cooler 1,Pressure Hydraulic in Cooler 1,Temp Drain Hydraulic motor 1,Pressure House Hydraulic motor 1,Temp A-side loop Hydraulic motor 1,Pressure Charge Pump 1,Temp C-side loop Hydraulic motor 1,Temp Ambient Outside power unit
2013-09-09 00:56:00,0,0,0,0,0,0,0,16.8265002251,9.0627608376,16.8401436435,0.0592430578,0,0.0338143932,16.5477176028,17.7219719058,12.5504175591,11.220000267,0,13.5699996948,0,13.6997332434,0,13.4420520123,11.6000003815
2013-09-09 00:57:00,0,0,0,0,0,0,0,16.6104999383,9.0623723764,16.8398547543,0.0558666687,0,0.0385583325,16.5521608908,17.6013614848,12.5074707831,11.1960218638,0,13.5252276842,0,13.7060310267,0,13.4400980962,11.6000003815
2013-09-09 00:58:00,0,0,0,0,0,0,0,16.7050002575,9.0621366074,16.8399991989,0.0845000025,0,0.0427933325,16.5238141252,17.6780277128,12.5205606591,11.1178091582,0,13.491333536,0,13.6998422334,0,13.440666722,11.6000003815
2013-09-09 00:59:00,0,0,0,0,0,0,0,16.6825002511,9.0613056558,16.8394279863,0.0787691944,0,0.0455108324,16.5531749264,17.7986381337,12.5351701397,11.0763412861,0,13.458095187,0,13.7025232122,0,13.4404333893,11.6000003815
2013-09-09 01:00:00,0,0,0,0,0,0,0,16.8946431024,9.0607771689,16.8400287444,0.0620925389,0,0.0401958325,16.4400005341,17.7219719058,12.5265229756,11.0908798994,0,13.4499274899,0,13.7000342008,0,13.4404333893,11.585305881
2013-09-09 01:01:00,0,0,0,0,0,0,0,16.6288418176,9.0609516791,16.8338283601,0.0689466074,0,0.0465499991,16.4400005341,17.6793888161,12.5189309138,11.0935765612,0,13.4385659342,0,13.7008200481,0,13.4398917242,11.4527220419
2013-09-09 01:02:00,0,0,0,0,0,0,0,16.7310158188,9.0601585976,16.8401616991,0.0676734873,0,0.0522833323,16.4400005341,17.7986381337,12.5266746781,11.0882819357,0,13.4490426791,0,13.6994581421,0,13.4392572021,11.5472779581
2013-09-09 01:03:00,0,0,0,0,0,0,0,16.8580002308,9.0587512773,16.8374342541,0.0596093792,0,0.0576777767,16.5502499421,17.7219719058,12.5029746445,11.090734917,0,13.4426574028,0,13.7010831436,0,13.4388665842,11.4527220419
2013-09-09 01:04:00,0,0,0,0,0,0,0,16.4665003618,9.0611433703,16.8320892576,0.0653921402,0,0.043751473,16.4400005341,17.6013614848,12.5056746523,11.093647378,0,13.4405281807,0,13.6997831424,0,13.4405980556,11.5472779581
2013-09-09 01:05:00,0,0,0,0,0,0,0,16.8817633813,9.0547760055,16.8396842551,0.0644481506,0,0.0462707473,16.4400005341,17.6000003815,12.5055996643,11.0898918192,0,13.4401219319,0,13.700433143,0,13.4331967429,11.4380275414
